movie_id_x,movie_title_x,original_title,runtime_minutes,averagerating,numvotes,primary_genre,movie_id2,id,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross
tt1507261,cargo,cargo,85.0,5.2,454,drama,cargo2011,73,2011-10-21,4200000,0,313230,313230
tt1521197,anonymous,anonymous,130.0,6.9,37932,drama,anonymous2011,90,2011-10-28,27500000,4463292,15815509,11352217
tt1524137,contraband,contraband,109.0,6.5,111709,action,contraband2012,85,2012-01-13,25000000,66528000,98406855,31878855
tt1524930,vacation,vacation,99.0,6.1,87582,adventure,vacation2015,28,2015-07-29,31000000,58884188,102306500,43422312
tt1527186,melancholia,melancholia,135.0,7.2,153434,drama,melancholia2011,62,2011-11-11,9400000,3030848,21817298,18786450
tt1535108,elysium,elysium,109.0,6.6,395572,action,elysium2013,92,2013-08-09,120000000,93050117,286192091,193141974
tt1545106,vamps,vamps,92.0,5.2,8838,comedy,vamps2012,79,2012-11-02,16000000,3361,94812,91451
tt1563742,overboard,overboard,112.0,5.9,25607,comedy,overboard2018,61,2018-05-04,12000000,50316123,85369830,35053707
tt1564585,skyline,skyline,92.0,4.4,83710,action,skyline2010,99,2010-11-12,10000000,21416355,68264973,46848618
tt1573072,housefull,housefull,144.0,5.5,11089,comedy,housefull2010,34,2010-04-30,10100000,1183658,18726300,17542642
tt1587310,maleficent,maleficent,97.0,7.0,305832,action,maleficent2014,84,2014-05-30,180000000,241407328,758536735,517129407
tt1592525,lockout,lockout,95.0,6.1,89554,action,lockout2012,22,2012-04-13,20000000,14326865,33943049,19616184
tt1592873,lol,lol,97.0,4.4,51424,comedy,lol2012,14,2012-05-04,11000000,0,10431506,10431506
tt1598778,contagion,contagion,106.0,6.6,201536,action,contagion2011,71,2011-09-09,60000000,75658097,137551594,61893497
tt1600195,abduction,abduction,106.0,5.1,72552,action,abduction2011,96,2011-09-23,35000000,28087155,86648359,58561204
tt1602620,amour,amour,127.0,7.9,84960,drama,amour2012,51,2012-12-19,9700000,6738954,36787044,30048090
tt1604171,prom,prom,104.0,5.4,14279,comedy,prom2011,97,2011-04-29,8000000,10130219,10763183,632964
tt1610996,absentia,absentia,87.0,5.8,15507,drama,absentia2011,6,2011-12-31,70000,0,8555,8555
tt1615065,savages,savages,131.0,6.5,115793,crime,savages2012,88,2012-07-06,45000000,47323100,82513490,35190390
tt1619029,jackie,jackie,100.0,6.7,66008,biography,jackie2016,87,2016-12-02,9000000,13960394,36588512,22628118
tt1623288,paranorman,paranorman,92.0,7.0,87250,adventure,paranorman2012,89,2012-08-17,60000000,56003051,108119662,52116611
tt1629705,blackthorn,blackthorn,102.0,6.6,8553,action,blackthorn2011,46,2011-10-07,4500000,200558,1217307,1016749
tt1630036,courageous,courageous,129.0,7.0,17586,drama,courageous2011,87,2011-09-30,2000000,34522221,35185884,663663
tt1634003,underdogs,metegol,106.0,6.5,8197,adventure,underdogs2013,41,2013-08-16,2500000,35017,1392649,1357632
tt1637725,ted,ted,106.0,6.9,538367,comedy,ted2012,84,2012-06-29,50000000,218665740,556016627,337350887
tt1655460,wanderlust,wanderlust,98.0,5.6,69081,comedy,wanderlust2012,88,2012-02-24,32500000,17288155,24159934,6871779
tt1656186,stolen,stolen,96.0,5.5,41313,action,stolen2012,53,2012-09-14,35000000,289773,17967746,17677973
tt1656190,safe,safe,94.0,6.5,96388,action,safe2012,78,2012-04-27,33000000,17142080,41495213,24353133
tt1657507,colombiana,colombiana,108.0,6.4,87659,action,colombiana2011,60,2011-08-26,40000000,36665854,72295262,35629408
tt1658801,freeheld,freeheld,103.0,6.5,10534,biography,freeheld2015,51,2015-10-02,7000000,546201,1732228,1186027
tt1661199,cinderella,cinderella,105.0,6.9,142792,drama,cinderella2015,13,2015-03-13,95000000,201151353,534551353,333400000
