id,release_date,movie_title,production_budget,domestic_gross,worldwide_gross,release_year,foreign_gross,movie_id,movie_id2
59,2000-12-15,"dude, where's my car?",13000000,46729374,73180297,2000,26450923,dudewheresmycar20001215,"dude, where's my car?2000"
61,2014-10-10,st. vincent,13000000,44137712,54837234,2014,10699522,stvincent20141010,st. vincent2014
62,2014-07-02,earth to echo,13000000,38934842,42174545,2014,3239703,earthtoecho20140702,earth to echo2014
64,2002-05-10,the new guy,13000000,28972187,28972187,2002,0,thenewguy20020510,the new guy2002
70,2013-03-01,21 and over,13000000,25682380,42195766,2013,16513386,21andover20130301,21 and over2013
71,2007-11-21,the mist,13000000,25593755,57189408,2007,31595653,themist20071121,the mist2007
72,2015-04-10,ex machina,13000000,25440971,38358392,2015,12917421,exmachina20150410,ex machina2015
74,2001-09-07,two can play that game,13000000,22235901,22391450,2001,155549,twocanplaythatgame20010907,two can play that game2001
75,2016-03-11,eye in the sky,13000000,18704596,35402802,2016,16698206,eyeinthesky20160311,eye in the sky2016
76,2013-03-22,admission,13000000,18007317,18733666,2013,726349,admission20130322,admission2013
77,2012-09-21,the perks of being a wallflower,13000000,17742948,33069303,2012,15326355,theperksofbeingawallflower20120921,the perks of being a wallflower2012
78,2001-06-29,crazy/beautiful,13000000,16929123,19929123,2001,3000000,crazybeautiful20010629,crazy/beautiful2001
80,2015-10-16,room,13000000,14677674,36262783,2015,21585109,room20151016,room2015
81,2015-10-16,woodlawn,13000000,14394097,14403703,2015,9606,woodlawn20151016,woodlawn2015
82,2006-12-20,letters from iwo jima,13000000,13756082,67867998,2006,54111916,lettersfromiwojima20061220,letters from iwo jima2006
83,2009-05-29,mã¤n som hatar kvinnor,13000000,12749992,109421911,2009,96671919,mãnsomhatarkvinnor20090529,mã¤n som hatar kvinnor2009
84,2007-02-23,the astronaut farmer,13000000,11003643,11141213,2007,137570,theastronautfarmer20070223,the astronaut farmer2007
